Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 6 Current,Cell 6 Voltage,Cell6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 8 Current,Cell 8 Voltage,Cell8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage
09-27-2025-Sat 11-56-26-AM,0.0,0.8,-0.3,0.816,22.3542,-0.2,0.64,-0.5,0.896,22.4549,-0.3,1.152,0.0,1.028,22.0832,-0.2,0.916,-0.1,0.544,22.4549,0.0,0.924,21.3736,-0.1,0.556,-0.3,0.504,21.4752,0.0,0.548,-0.2,0.596,21.272,-0.5,0.544,-0.3,0.732,21.4752,-0.3,1.004
09-27-2025-Sat 11-56-28-AM,-0.3,0.8,-0.1,0.812,22.3872,-0.3,0.636,-0.5,0.876,22.5565,0.0,1.14,-0.1,1.016,22.0494,-0.2,0.912,0.1,0.54,22.4549,-0.1,0.916,21.3736,-0.1,0.552,0.1,0.504,21.4075,-0.2,0.548,-0.2,0.592,21.2382,-0.2,0.544,0.0,0.732,21.4414,-0.1,0.992
09-27-2025-Sat 11-56-30-AM,0.0,0.796,-0.5,0.808,22.3195,-0.5,0.636,-0.2,0.86,22.5227,-0.1,1.132,-0.4,1.008,22.0494,-0.4,0.908,-0.2,0.54,22.4211,-0.3,0.912,21.3398,0.1,0.552,-0.2,0.508,21.3736,-0.3,0.548,-0.4,0.596,21.2382,-0.2,0.548,-0.2,0.732,21.4075,0.0,0.988
09-27-2025-Sat 11-56-33-AM,-0.1,0.792,-0.3,0.8,22.4211,-0.1,0.628,-0.5,0.848,22.4211,-0.1,1.124,0.0,0.996,22.0155,-0.1,0.9,0.1,0.54,22.4211,-0.2,0.908,21.272,-0.4,0.552,0.0,0.508,21.3398,-0.2,0.548,-0.1,0.592,21.2051,-0.1,0.548,-0.1,0.732,21.3059,-0.2,0.976
09-27-2025-Sat 11-56-35-AM,-0.4,0.792,-0.1,0.796,22.3542,-0.3,0.624,-0.3,0.836,22.4549,-0.3,1.112,-0.2,0.988,22.0155,-0.4,0.896,0.0,0.54,22.3872,-0.2,0.904,21.272,-0.3,0.548,-0.2,0.508,21.272,-0.3,0.552,-0.2,0.592,21.1704,0.1,0.552,-0.4,0.732,21.2382,-0.3,0.968
09-27-2025-Sat 11-56-37-AM,-0.1,0.792,-0.3,0.796,22.3195,-0.3,0.62,-0.4,0.824,22.4211,-0.1,1.108,-0.3,0.984,21.9816,-0.3,0.896,0.1,0.536,22.3542,-0.4,0.9,21.2051,-0.3,0.552,-0.5,0.508,21.2382,-0.2,0.544,-0.3,0.592,21.1704,0.0,0.552,-0.2,0.732,21.1704,-0.1,0.96
09-27-2025-Sat 11-56-40-AM,-0.3,0.788,0.0,0.788,22.3195,-0.2,0.62,-0.4,0.82,22.4211,-0.2,1.096,-0.3,0.972,21.9816,-0.2,0.892,-0.2,0.54,22.3542,-0.1,0.9,21.1374,0.0,0.552,-0.3,0.508,21.1704,-0.2,0.548,-0.3,0.592,21.1704,-0.1,0.556,-0.5,0.736,21.1035,-0.1,0.956
09-27-2025-Sat 11-56-42-AM,-0.1,0.792,-0.3,0.788,22.2187,-0.1,0.62,-0.3,0.816,22.3542,-0.1,1.088,0.0,0.968,21.9816,-0.2,0.892,0.1,0.54,22.3195,-0.2,0.9,21.0358,-0.2,0.556,-0.1,0.508,21.1374,0.0,0.548,-0.2,0.596,21.1374,-0.1,0.56,-0.2,0.732,20.9681,-0.2,0.948
09-27-2025-Sat 11-56-45-AM,-0.1,0.792,-0.3,0.784,22.2526,-0.2,0.62,-0.2,0.804,22.3872,0.0,1.08,0.0,0.96,21.9816,-0.2,0.888,-0.1,0.54,22.2864,-0.1,0.892,20.9681,-0.3,0.556,-0.3,0.512,21.0697,-0.4,0.552,-0.3,0.596,21.1035,-0.1,0.56,-0.4,0.736,20.9003,0.1,0.94
09-27-2025-Sat 11-56-47-AM,-0.3,0.792,-0.2,0.784,22.2187,-0.1,0.616,-0.5,0.8,22.2864,-0.2,1.072,-0.1,0.956,21.9478,-0.2,0.884,-0.3,0.544,22.2864,0.0,0.892,20.8326,-0.1,0.556,-0.2,0.512,21.0019,-0.1,0.552,-0.4,0.6,21.0358,-0.1,0.568,0.0,0.736,20.7995,0.0,0.936
09-27-2025-Sat 11-56-50-AM,-0.1,0.788,-0.2,0.78,22.151,-0.1,0.62,-0.2,0.8,22.2187,-0.3,1.068,-0.2,0.956,21.9139,-0.5,0.884,-0.1,0.544,22.2187,-0.1,0.892,20.6641,0.1,0.56,-0.1,0.512,20.9003,-0.3,0.556,-0.2,0.6,20.9681,0.1,0.568,-0.3,0.74,20.6641,-0.3,0.924
09-27-2025-Sat 11-56-52-AM,-0.5,0.792,0.0,0.78,22.151,-0.1,0.62,-0.2,0.792,22.2187,-0.3,1.06,-0.1,0.948,21.88,-0.4,0.884,0.1,0.544,22.2187,-0.1,0.892,20.5963,0.2,0.564,-0.4,0.516,20.7995,-0.4,0.56,-0.4,0.604,20.9342,-0.4,0.568,-0.3,0.74,20.5625,0.0,0.928
09-27-2025-Sat 11-56-54-AM,-0.3,0.792,-0.3,0.78,22.1848,-0.4,0.62,-0.3,0.788,22.1171,-0.2,1.056,-0.3,0.943999,21.847,0.0,0.884,0.0,0.548,22.151,-0.2,0.892,20.4617,-0.2,0.56,-0.1,0.516,20.6641,0.0,0.56,-0.3,0.6,20.8665,0.0,0.572,-0.3,0.74,20.4278,0.0,0.924
09-27-2025-Sat 11-56-57-AM,0.0,0.792,-0.3,0.78,22.1848,-0.2,0.62,-0.1,0.788,22.0494,-0.1,1.056,-0.2,0.94,21.847,-0.3,0.88,0.0,0.548,22.1171,0.0,0.892,20.2923,-0.3,0.564,-0.2,0.52,20.5286,-0.2,0.564,-0.4,0.6,20.7995,0.0,0.572,0.0,0.74,20.3262,-0.1,0.924
09-27-2025-Sat 11-56-59-AM,-0.4,0.792,-0.2,0.78,22.0155,-0.1,0.62,-0.3,0.784,21.9816,-0.3,1.048,0.0,0.94,21.8123,-0.3,0.884,-0.2,0.548,22.0832,0.0,0.888,20.1238,0.0,0.572,-0.2,0.52,20.4617,-0.1,0.564,-0.3,0.604,20.6979,0.0,0.572,-0.1,0.732,20.2246,-0.1,0.924
09-27-2025-Sat 11-57-01-AM,-0.3,0.796,-0.2,0.772,21.9816,-0.2,0.62,-0.2,0.78,21.9478,-0.1,1.044,0.0,0.936,21.7792,-0.1,0.88,0.0,0.548,22.0494,0.0,0.888,19.9884,0.0,0.568,-0.3,0.52,20.3601,-0.1,0.568,-0.3,0.6,20.6302,-0.4,0.572,-0.5,0.74,20.09,-0.2,0.92
09-27-2025-Sat 11-57-18-AM,98.7,5.548,114.5,5.548,21.6107,104.1,5.552,105.1,5.596,21.3736,94.8,5.524,102.9,5.564,21.6107,99.3,5.512,105.2,5.504,21.7115,94.9,5.536,18.6377,107.4,5.536,95.0,5.544,19.5158,97.8,5.592,94.9,5.504,20.09,99.5,5.568,99.5,5.496,19.4481,85.4,5.5
