Timestamp,Cell 1 Current,Cell 1 current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temperature,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temperature,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temperature,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp (SENSOR Failed),Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,7.14498,,,,,,8.827,,,,,,9.93814,,,,,,7.85133,47,5.732,,47.9,5.74,2.47062,50,5.74,,49.3,5.756,68.1252,38.6,5.72,,41.4,5.756,7.24496,39.1,5.716,,39.9,5.72,7.68281
,,,,,,7.11111,,,,,,8.79313,,,,,,9.90427,,,,,,7.61588,45.8,5.732,,46.4,5.744,2.47062,49.2,5.74,,48.6,5.764,69.7363,38.2,5.724,,40.8,5.76,7.24496,38,5.724,,38.8,5.724,7.54815
,,,,,,7.14498,,,,,,8.72621,,,,,,10.0736,,,,,,7.74973,45.3,5.736,,46.1,5.74,2.4037,48.9,5.744,,48.2,5.764,72.4456,37.9,5.724,,39.9,5.76,7.17804,37.6,5.724,,38.1,5.728,7.17804
,,,,,,7.14498,,,,,,8.76007,,,,,,9.90427,,,,,,7.64894,44.8,5.736,,45.5,5.744,2.4037,48.3,5.744,,48.1,5.76,63.6734,37.5,5.724,,39.6,5.764,7.04338,37.3,5.724,,37.8,5.728,7.31269
,,,,,,6.70713,,,,,,8.32223,,,,,,9.46724,,,,,,7.04338,44.6,5.744,,45.4,5.748,2.06746,47.6,5.748,,47.2,5.768,64.7692,37.4,5.732,,39.7,5.768,6.47168,36.9,5.728,,37.3,5.732,6.94258
,,,,,,6.57248,,,,,,8.28917,,,,,,9.46724,,,,,,7.14498,44.3,5.74,,44.8,5.748,2.00053,47.3,5.748,,47.2,5.768,65.2482,37,5.728,,39.2,5.764,6.67327,36.6,5.728,,37,5.728,6.94258
,,,,,,6.60634,,,,,,8.3561,,,,,,9.43337,,,,,,7.07724,43.7,5.744,,44.4,5.752,1.96666,47,5.752,,47,5.768,56.3244,37,5.732,,39.1,5.768,6.37089,36.4,5.728,,36.6,5.732,6.64021
,,,,,,6.60634,,,,,,8.32223,,,,,,9.36563,,,,,,7.14498,44,5.744,,44.6,5.748,1.96666,46.8,5.748,,46.7,5.764,56.7349,36.6,5.732,,38.8,5.768,6.53942,36.1,5.728,,36.4,5.732,6.80793
,,,,,,6.57248,,,,,,8.28917,,,,,,9.26484,,,,,,7.00951,43.5,5.744,,44.5,5.748,2.00053,47,5.748,,46.5,5.772,62.3051,36.7,5.732,,38.8,5.764,6.47168,36.3,5.732,,36.5,5.732,6.87566
,,,,,,6.50474,,,,,,8.32223,,,,,,9.33258,,,,,,6.94258,43.5,5.748,,44.1,5.748,2.03359,46.9,5.752,,46.8,5.772,62.3736,36.4,5.732,,38.8,5.772,6.67327,36.2,5.732,,36.5,5.732,6.90872
