Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.904,-72.2048,0.2,5.912,-66.431,-0.1,5.912,-66.9892,-0.1,5.912,-66.682,0.0,5.908,-72.5653,-0.1,5.92,-78.979,0.1,5.904,-74.8578,0.3,5.912,-75.234
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.904,-72.2048,0.1,5.908,-66.42,0.0,5.912,-68.0069,0.1,5.908,-66.715,0.0,5.904,-72.5981,0.1,5.92,-79.011,-0.1,5.904,-74.8578,0.2,5.908,-75.251
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.908,-72.8274,0.1,5.912,-66.474,0.1,5.912,-68.0726,0.2,5.912,-66.759,0.2,5.904,-73.0567,-0.1,5.92,-79.022,-0.1,5.908,-74.8905,0.1,5.908,-75.267
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.908,-72.8601,0.1,5.908,-66.442,-0.1,5.912,-68.1053,0.0,5.908,-66.748,0.2,5.904,-73.0567,0.0,5.92,-79.044,0.2,5.904,-74.8905,0.3,5.908,-75.283
,,,,,,,,,,,,,,,,,,,,,,,,0.4,5.904,-72.893,0.3,5.908,-66.617,-0.1,5.912,-68.1711,-0.1,5.912,-66.803,0.3,5.908,-73.0895,0.2,5.92,-79.055,0.2,5.904,-74.9233,0.0,5.908,-75.316
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.908,-72.893,0.3,5.908,-66.65,0.2,5.908,-68.2039,0.2,5.908,-66.857,0.1,5.904,-73.1223,0.1,5.92,-79.806,0.2,5.908,-75.5124,0.2,5.908,-75.332
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.908,-72.893,0.3,5.908,-66.661,0.0,5.912,-68.5321,0.2,5.908,-67.416,0.2,5.908,-73.1223,-0.2,5.92,-79.828,0.3,5.908,-75.5451,0.2,5.912,-75.349
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.908,-73.4826,0.2,5.912,-66.682,-0.1,5.912,-68.5649,0.0,5.904,-67.448,-0.1,5.908,-73.1877,0.1,5.916,-80.329,0.1,5.904,-75.5451,0.0,5.908,-75.954
,,,,,,,,,,,,,,,,,,,,,,,,0.4,5.904,-73.4826,0.2,5.912,-66.682,0.1,5.912,-68.5977,0.2,5.908,-67.481,-0.3,5.904,-73.1877,0.1,5.92,-80.373,0.0,5.908,-75.5451,-0.2,5.912,-75.987
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.908,-73.4826,0.3,5.912,-66.682,0.0,5.912,-68.6634,0.2,5.908,-67.47,0.1,5.904,-73.1877,0.0,5.916,-80.416,0.1,5.908,-75.5451,0.1,5.908,-75.987
